trial,Category,response_neuron,reward,rpe,confidence_neuron,response_rulebased,reward_rulebased,rpe_rulebased,confidence_rulebased
0,2.0,1.0,0.0,-0.01,0.01,2.0,1.0,0.010000000000000009,0.99
1,2.0,2.0,1.0,0.9938,0.006200000000000001,2.0,1.0,0.006199999999999983,0.9938
2,1.0,1.0,1.0,0.6161559999999999,0.383844,2.0,0.0,-0.996156,0.996156
3,2.0,2.0,1.0,0.38201672,0.61798328,2.0,1.0,0.38238328,0.61761672
4,2.0,1.0,0.0,-0.7631496336,0.7631496336,1.0,0.0,-0.7629223664,0.7629223664
5,2.0,2.0,1.0,0.526847227168,0.47315277283199997,1.0,0.0,-0.473011867168,0.473011867168
6,1.0,1.0,1.0,0.32664528084416,0.67335471915584,2.0,0.0,-0.29326735764416,0.29326735764416
7,2.0,2.0,1.0,0.20252007412337925,0.7974799258766208,2.0,1.0,0.8181742382606207,0.1818257617393792
8,2.0,2.0,1.0,0.12556244595649513,0.8744375540435049,1.0,0.0,-0.4927319722784151,0.4927319722784151
9,2.0,2.0,1.0,0.07784871649302694,0.9221512835069731,1.0,0.0,-0.3054938228126174,0.3054938228126174
10,2.0,2.0,1.0,0.048266204225676734,0.9517337957743233,2.0,1.0,0.8105938298561772,0.18940617014382277
11,2.0,2.0,1.0,0.02992504661991957,0.9700749533800804,1.0,0.0,-0.49743182548917014,0.49743182548917014
12,2.0,2.0,1.0,0.018553528904350136,0.9814464710956499,1.0,0.0,-0.3084077318032855,0.3084077318032855
13,1.0,1.0,1.0,0.011503187920697044,0.988496812079303,1.0,1.0,0.808787206281963,0.191212793718037
14,2.0,2.0,1.0,0.007131976510832194,0.9928680234891678,1.0,0.0,-0.49855193210518295,0.49855193210518295
15,1.0,1.0,1.0,0.004421825436715987,0.995578174563284,2.0,0.0,-0.3091021979052134,0.3091021979052134
16,2.0,2.0,1.0,0.002741531770763861,0.9972584682292361,1.0,0.0,-0.19164336270123233,0.19164336270123233
17,2.0,2.0,1.0,0.0016997496978735649,0.9983002503021264,1.0,0.0,-0.11881888487476405,0.11881888487476405
18,1.0,2.0,0.0,-0.9989461551873184,0.9989461551873184,2.0,0.0,-0.07366770862235371,0.07366770862235371
19,1.0,2.0,0.0,-0.6193466162161374,0.6193466162161374,1.0,1.0,0.9543260206541407,0.0456739793458593
20,2.0,1.0,0.0,-0.3839949020540052,0.3839949020540052,1.0,0.0,-0.4083178671944328,0.4083178671944328
21,1.0,1.0,1.0,0.7619231607265168,0.23807683927348322,2.0,0.0,-0.25315707766054835,0.25315707766054835
22,2.0,1.0,0.0,-0.5276076403495595,0.5276076403495595,1.0,0.0,-0.15695738814953997,0.15695738814953997
23,2.0,1.0,0.0,-0.32711673701672694,0.32711673701672694,2.0,1.0,0.9026864193472852,0.09731358065271478
24,2.0,2.0,1.0,0.7971876230496293,0.2028123769503707,2.0,1.0,0.5596655799953169,0.44033442000468315
25,2.0,2.0,1.0,0.4942563262907702,0.5057436737092298,1.0,0.0,-0.6530073404029035,0.6530073404029035
26,2.0,2.0,1.0,0.30643892230027747,0.6935610776997225,1.0,0.0,-0.4048645510498002,0.4048645510498002
27,1.0,1.0,1.0,0.18999213182617203,0.810007868173828,2.0,0.0,-0.2510160216508761,0.2510160216508761
28,1.0,2.0,0.0,-0.8822048782677734,0.8822048782677734,2.0,0.0,-0.1556299334235432,0.1556299334235432
29,1.0,1.0,1.0,0.4530329754739806,0.5469670245260194,2.0,0.0,-0.09649055872259679,0.09649055872259679
30,1.0,2.0,0.0,-0.719119555206132,0.719119555206132,2.0,0.0,-0.05982414640801001,0.05982414640801001
31,1.0,1.0,1.0,0.5541458757721982,0.44585412422780185,2.0,0.0,-0.037090970772966206,0.037090970772966206
32,2.0,2.0,1.0,0.3435704429787628,0.6564295570212372,1.0,0.0,-0.02299640187923905,0.02299640187923905
33,1.0,1.0,1.0,0.21301367464683296,0.786986325353167,1.0,1.0,0.9857422308348718,0.01425776916512821
34,2.0,2.0,1.0,0.1320684782810364,0.8679315217189636,2.0,1.0,0.6111601831176205,0.3888398168823795
35,2.0,2.0,1.0,0.08188245653424253,0.9181175434657575,1.0,0.0,-0.6210806864670753,0.6210806864670753
36,2.0,2.0,1.0,0.05076712305123032,0.9492328769487697,1.0,0.0,-0.3850700256095867,0.3850700256095867
37,1.0,1.0,1.0,0.031475616291762765,0.9685243837082372,2.0,0.0,-0.23874341587794376,0.23874341587794376
38,2.0,2.0,1.0,0.019514882100892916,0.9804851178991071,1.0,0.0,-0.14802091784432514,0.14802091784432514
39,1.0,1.0,1.0,0.012099226902553606,0.9879007730974464,2.0,0.0,-0.09177296906348159,0.09177296906348159
40,1.0,1.0,1.0,0.007501520679583207,0.9924984793204168,2.0,0.0,-0.056899240819358585,0.056899240819358585
41,1.0,1.0,1.0,0.004650942821341597,0.9953490571786584,1.0,1.0,0.9647224706919977,0.03527752930800232
42,2.0,2.0,1.0,0.0028835845492317658,0.9971164154507682,1.0,0.0,-0.40187206817096144,0.40187206817096144
43,2.0,2.0,1.0,0.001787822420523666,0.9982121775794763,1.0,0.0,-0.24916068226599608,0.24916068226599608
44,2.0,2.0,1.0,0.0011084499007246729,0.9988915500992753,1.0,0.0,-0.15447962300491758,0.15447962300491758
45,1.0,1.0,1.0,0.0006872389384493527,0.9993127610615506,2.0,0.0,-0.09577736626304889,0.09577736626304889
46,2.0,2.0,1.0,0.0004260881418386431,0.9995739118581614,1.0,0.0,-0.05938196708309031,0.05938196708309031
47,1.0,1.0,1.0,0.00026417464793992984,0.9997358253520601,2.0,0.0,-0.03681681959151599,0.03681681959151599
48,2.0,2.0,1.0,0.0001637882817228098,0.9998362117182772,1.0,0.0,-0.022826428146739915,0.022826428146739915
49,2.0,2.0,1.0,0.0001015487346681665,0.9998984512653318,1.0,0.0,-0.014152385450978747,0.014152385450978747
50,1.0,1.0,1.0,6.296021549423436e-05,0.9999370397845058,2.0,0.0,-0.008774478979606823,0.008774478979606823
51,2.0,2.0,1.0,3.9035333606385336e-05,0.9999609646663936,1.0,0.0,-0.00544017696735623,0.00544017696735623
52,2.0,2.0,1.0,2.4201906835941145e-05,0.9999757980931641,1.0,0.0,-0.0033729097197608628,0.0033729097197608628
53,2.0,2.0,1.0,1.5005182238292392e-05,0.9999849948177617,1.0,0.0,-0.002091204026251735,0.002091204026251735
54,2.0,2.0,1.0,9.303212987754605e-06,0.9999906967870122,1.0,0.0,-0.0012965464962760758,0.0012965464962760758
55,2.0,2.0,1.0,5.76799205243006e-06,0.9999942320079476,2.0,1.0,0.9991961411723088,0.000803858827691167
56,1.0,1.0,1.0,3.576155072515519e-06,0.9999964238449275,2.0,0.0,-0.3804983924731685,0.3804983924731685
57,2.0,2.0,1.0,2.217216144906331e-06,0.9999977827838551,1.0,0.0,-0.23590900333336448,0.23590900333336448
58,1.0,1.0,1.0,1.3746740098463661e-06,0.9999986253259902,1.0,1.0,0.853736417933314,0.146263582066686
59,1.0,1.0,1.0,8.522978861558173e-07,0.9999991477021138,2.0,0.0,-0.4706834208813453,0.4706834208813453
60,2.0,2.0,1.0,5.284246894499134e-07,0.9999994715753106,1.0,0.0,-0.29182372094643405,0.29182372094643405
61,2.0,2.0,1.0,3.276233074833712e-07,0.9999996723766925,1.0,0.0,-0.1809307069867891,0.1809307069867891
