trial,reward,prediction,rpe
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,1.0,0.0,1.0
3,0.0,0.01,-0.01
4,1.0,0.0099,0.9901
5,1.0,0.019801,0.980199
6,0.0,0.02960299,-0.02960299
7,1.0,0.029306960099999998,0.9706930399
8,1.0,0.039013890499,0.960986109501
9,1.0,0.04862375159401,0.95137624840599
10,0.0,0.0581375140780699,-0.0581375140780699
11,0.0,0.0575561389372892,-0.0575561389372892
12,1.0,0.05698057754791631,0.9430194224520837
13,0.0,0.06641077177243715,-0.06641077177243715
14,0.0,0.06574666405471277,-0.06574666405471277
15,1.0,0.06508919741416565,0.9349108025858344
16,1.0,0.07443830544002399,0.9255616945599761
17,1.0,0.08369392238562375,0.9163060776143762
18,1.0,0.0928569831617675,0.9071430168382325
19,1.0,0.10192841333014983,0.8980715866698502
20,1.0,0.11090912919684834,0.8890908708031516
21,0.0,0.11980003790487985,-0.11980003790487985
22,0.0,0.11860203752583105,-0.11860203752583105
23,1.0,0.11741601715057275,0.8825839828494273
24,1.0,0.126241856979067,0.873758143020933
25,0.0,0.13497943840927634,-0.13497943840927634
26,1.0,0.13362964402518357,0.8663703559748164
27,1.0,0.14229334758493173,0.8577066524150683
28,0.0,0.15087041410908242,-0.15087041410908242
29,1.0,0.14936170996799158,0.8506382900320084
30,0.0,0.15786809286831166,-0.15786809286831166
31,1.0,0.15628941193962853,0.8437105880603715
32,1.0,0.16472651782023223,0.8352734821797678
33,0.0,0.17307925264202992,-0.17307925264202992
34,1.0,0.1713484601156096,0.8286515398843903
35,1.0,0.1796349755144535,0.8203650244855465
36,1.0,0.18783862575930899,0.812161374240691
37,0.0,0.1959602395017159,-0.1959602395017159
38,1.0,0.19400063710669874,0.8059993628933013
39,1.0,0.20206063073563174,0.7979393692643683
40,1.0,0.21004002442827543,0.7899599755717246
41,1.0,0.21793962418399268,0.7820603758160073
42,1.0,0.22576022794215275,0.7742397720578472
43,0.0,0.23350262566273122,-0.23350262566273122
44,0.0,0.2311675994061039,-0.2311675994061039
45,1.0,0.22885592341204286,0.7711440765879571
46,1.0,0.23656736417792243,0.7634326358220775
47,1.0,0.2442016905361432,0.7557983094638567
48,1.0,0.2517596736307818,0.7482403263692182
49,1.0,0.259242076894474,0.740757923105526
50,1.0,0.26664965612552927,0.7333503438744707
51,1.0,0.273983159564274,0.726016840435726
52,1.0,0.2812433279686313,0.7187566720313687
53,1.0,0.28843089468894495,0.7115691053110551
54,1.0,0.2955465857420555,0.7044534142579445
55,1.0,0.30259111988463494,0.6974088801153651
56,1.0,0.3095652086857886,0.6904347913142115
57,1.0,0.31646955659893067,0.6835304434010694
58,1.0,0.32330486103294137,0.6766951389670586
59,1.0,0.33007181242261197,0.669928187577388
60,0.0,0.33677109429838586,-0.33677109429838586
61,1.0,0.333403383355402,0.666596616644598
62,1.0,0.340069349521848,0.659930650478152
63,1.0,0.3466686560266295,0.6533313439733706
64,1.0,0.3532019694663632,0.6467980305336368
65,1.0,0.3596699497716995,0.6403300502283005
66,1.0,0.3660732502739825,0.6339267497260175
67,1.0,0.3724125177712427,0.6275874822287573
68,1.0,0.37868839259353027,0.6213116074064697
69,1.0,0.384901508667595,0.615098491332405
70,1.0,0.39105249358091904,0.608947506419081
71,1.0,0.39714196864510987,0.6028580313548901
72,1.0,0.4031705489586588,0.5968294510413412
73,1.0,0.4091388434690722,0.5908611565309279
74,1.0,0.41504745503438145,0.5849525449656185
75,1.0,0.4208969804840376,0.5791030195159623
76,1.0,0.42668801067919726,0.5733119893208027
77,0.0,0.4324211305724053,-0.4324211305724053
78,1.0,0.4280969192666812,0.5719030807333187
79,1.0,0.4338159500740144,0.5661840499259856
80,1.0,0.43947779057327424,0.5605222094267257
81,1.0,0.4450830126675415,0.5549169873324584
82,1.0,0.4506321825408661,0.5493678174591339
83,1.0,0.45612586071545747,0.5438741392845425
84,1.0,0.4615646021083029,0.5384353978916971
85,1.0,0.46694895608721987,0.5330510439127801
86,1.0,0.47227946652634767,0.5277205334736523
87,1.0,0.4775566718610842,0.5224433281389158
88,1.0,0.48278110514247335,0.5172188948575267
89,1.0,0.4879532940910486,0.5120467059089514
90,1.0,0.4930737611501381,0.5069262388498619
91,1.0,0.49814302353863676,0.5018569764613632
92,1.0,0.5031615933032504,0.4968384066967496
93,1.0,0.5081299773702179,0.4918700226297821
94,1.0,0.5130486775965157,0.48695132240348427
95,1.0,0.5179181908205506,0.4820818091794494
96,1.0,0.522739008912345,0.47726099108765496
97,0.0,0.5275116188232216,-0.5275116188232216
98,1.0,0.5222365026349894,0.47776349736501056
99,0.0,0.5270141376086396,0.0
